Cliente;Producto;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Tot
60641 - JOSE MIGUEL LOPEZ GARCIA;027000033000001 - MAISELï¿½S WEISSE ORIG.30L BARRIL 30L;0.0;0.0;-83.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-83.7
60641 - JOSE MIGUEL LOPEZ GARCIA;027000034000001 - MAISELï¿½S WEISSE DUNKEL 30L BARRIL 30L;0.0;0.0;0.0;0.0;0.0;83.7;2.7;0.0;0.0;0.0;0.0;0.0;86.4
60641 - JOSE MIGUEL LOPEZ GARCIA;027000105000020 - MAISELï¿½S WEISSE DUNKEL 50CL CAJA 20X50CL;0.0;0.0;0.0;0.0;0.0;37.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0
60641 - JOSE MIGUEL LOPEZ GARCIA;027000112000024 - M&F. PALE ALE 33CL CAJA 6x4x33 CL;0.0;0.0;32.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.45
60641 - JOSE MIGUEL LOPEZ GARCIA;027000115000024 - Maisel & Friend IPA 33CL CAJA 6x4x33 CL;0.0;0.0;32.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.45
60641 - JOSE MIGUEL LOPEZ GARCIA;028000010000020 - KARLSBRAU WEIZEN 20X33 CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.8;0.0;0.0;0.0;0.0;20.8
60641 - JOSE MIGUEL LOPEZ GARCIA;028000013000024 - EL GRANDE 8X3X33 CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;24.0
60641 - JOSE MIGUEL LOPEZ GARCIA;028000021000012 - INSEL KAP 12X33 CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.44;0.0;0.0;0.0;0.0;25.44
60641 - JOSE MIGUEL LOPEZ GARCIA;028000023000012 - INSEL KREIDE 12X33 CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.44;0.0;0.0;0.0;0.0;25.44
60641 - JOSE MIGUEL LOPEZ GARCIA;028000024000012 - BALTIC ALE 12X33 CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.36;0.0;0.0;0.0;0.0;27.36
60641 - JOSE MIGUEL LOPEZ GARCIA;028000025000012 - BALTIC STOUT 12X33 CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.36;0.0;0.0;0.0;0.0;27.36
60641 - JOSE MIGUEL LOPEZ GARCIA;028000026000012 - BALTIC DUBBEL 12X33 CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.36;0.0;0.0;0.0;0.0;27.36
60641 - JOSE MIGUEL LOPEZ GARCIA;028000027000012 - BALTIC TRIPEL 12X33 CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.36;0.0;0.0;0.0;0.0;27.36
60641 - JOSE MIGUEL LOPEZ GARCIA;028000031000012 - BALTIC FARM 12 X 33CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.36;0.0;0.0;0.0;0.0;27.36
60641 - JOSE MIGUEL LOPEZ GARCIA;073000002000006 - CRIANZA PRIOS MAXIMUS CJA 6X75 ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.0;0.0;0.0;0.0;0.0;58.0
60641 - JOSE MIGUEL LOPEZ GARCIA;073000008000001 - PRIOS VENDIMIA SELECCIONADA BOT. 1.5L;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.42;0.0;0.0;0.0;0.0;26.42
60641 - JOSE MIGUEL LOPEZ GARCIA;094000002000006 - GATAO CANTIL VINHO VERDE CAJA 6X75CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.31;0.0;0.0;0.0;0.0;18.31
60641_1 - JUMN SAN RAFAEL. S.L;024000030000001 - VELTINS PILS BARRIL 30 L. ;0.0;0.0;0.0;0.0;0.0;0.0;278.16;0.0;0.0;0.0;0.0;0.0;278.16
